policy,chunks_per_object,chunk_non_head_prob,cache_capacity_chunks,heterogeneous_backhaul,prediction_noise_sigma,burst_high_rate_mult,burst_low_rate_mult,burst_toggle_mean_requests,request_unit_interval,seed,num_requests,warmup_requests,mean_ms,p95_ms,p99_ms,hit_rate,remote_mb,jain_fairness,count
lru,4,0.18,72,false,0,1,0.25,800,120,42,35000,3500,49.288414,209.762667,209.762667,0.629429,1697.500000,0.980760,31500
lfu,4,0.18,72,false,0,1,0.25,800,120,42,35000,3500,62.394827,209.762667,299.525333,0.620190,2167.750000,0.987420,31500
closer,4,0.18,72,false,0,1,0.25,800,120,42,35000,3500,54.244744,209.762667,209.762667,0.720286,1896.000000,0.983402,31500
p99aware,4,0.18,72,false,0,1,0.25,800,120,42,35000,3500,74.375745,209.762667,299.525333,0.655397,2600.250000,0.990090,31500
lru,4,0.18,72,false,0,2,0.25,800,120,42,35000,3500,56.134663,209.762667,305.719637,0.629429,1697.500000,0.983236,31500
lfu,4,0.18,72,false,0,2,0.25,800,120,42,35000,3500,71.683735,209.762667,359.525333,0.620190,2167.750000,0.987799,31500
closer,4,0.18,72,false,0,2,0.25,800,120,42,35000,3500,62.153861,209.762667,359.202167,0.720286,1896.000000,0.985468,31500
p99aware,4,0.18,72,false,0,2,0.25,800,120,42,35000,3500,86.048470,239.675333,389.288000,0.656667,2566.500000,0.989744,31500
lru,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,77.111378,299.438000,479.351293,0.629429,1697.500000,0.983602,31500
lfu,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,103.432469,359.675333,569.288000,0.620190,2167.750000,0.986748,31500
closer,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,87.341362,329.525333,539.050800,0.720286,1896.000000,0.985924,31500
p99aware,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,146.453420,509.288000,903.737631,0.633651,2607.750000,0.982482,31500
lru,4,0.18,72,false,0,6,0.25,800,120,42,35000,3500,117.523909,469.588000,759.861011,0.629429,1697.500000,0.982325,31500
lfu,4,0.18,72,false,0,6,0.25,800,120,42,35000,3500,187.672368,708.424812,1225.635475,0.620190,2167.750000,0.977881,31500
closer,4,0.18,72,false,0,6,0.25,800,120,42,35000,3500,141.793298,549.793033,948.800173,0.720286,1896.000000,0.979337,31500
p99aware,4,0.18,72,false,0,6,0.25,800,120,42,35000,3500,2658.233429,13441.756165,16974.730431,0.424095,3512.500000,0.950563,31500
