policy,chunks_per_object,chunk_non_head_prob,cache_capacity_chunks,heterogeneous_backhaul,prediction_noise_sigma,burst_high_rate_mult,burst_low_rate_mult,burst_toggle_mean_requests,request_unit_interval,seed,num_requests,warmup_requests,mean_ms,p95_ms,p99_ms,hit_rate,remote_mb,jain_fairness,count
lru,4,0.18,36,false,0,4,0.25,800,120,42,35000,3500,126.814616,437.204412,701.501941,0.511460,2457.000000,0.985760,31500
lfu,4,0.18,36,false,0,4,0.25,800,120,42,35000,3500,134.444598,455.244971,718.813333,0.560381,2595.000000,0.987601,31500
closer,4,0.18,36,false,0,4,0.25,800,120,42,35000,3500,139.633030,485.132971,789.666228,0.620921,2606.000000,0.985270,31500
p99aware,4,0.18,36,false,0,4,0.25,800,120,42,35000,3500,468.594241,2263.800894,3669.593050,0.478698,3689.500000,0.931365,31500
lru,4,0.18,54,false,0,4,0.25,800,120,42,35000,3500,95.592707,359.438000,569.026247,0.581714,2000.750000,0.986113,31500
lfu,4,0.18,54,false,0,4,0.25,800,120,42,35000,3500,116.928545,389.525333,634.983597,0.600413,2374.500000,0.987226,31500
closer,4,0.18,54,false,0,4,0.25,800,120,42,35000,3500,105.101318,365.396871,599.413960,0.680222,2180.250000,0.986705,31500
p99aware,4,0.18,54,false,0,4,0.25,800,120,42,35000,3500,223.916009,813.196837,1501.926051,0.564159,3116.250000,0.972674,31500
lru,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,77.111378,299.438000,479.351293,0.629429,1697.500000,0.983602,31500
lfu,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,103.432469,359.675333,569.288000,0.620190,2167.750000,0.986748,31500
closer,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,87.341362,329.525333,539.050800,0.720286,1896.000000,0.985924,31500
p99aware,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,146.453420,509.288000,903.737631,0.633651,2607.750000,0.982482,31500
lru,4,0.18,90,false,0,4,0.25,800,120,42,35000,3500,65.141812,239.825333,425.158511,0.666825,1461.000000,0.979878,31500
lfu,4,0.18,90,false,0,4,0.25,800,120,42,35000,3500,84.769757,305.869637,509.050667,0.640889,1851.750000,0.984204,31500
closer,4,0.18,90,false,0,4,0.25,800,120,42,35000,3500,76.548645,299.177233,479.288000,0.749778,1717.500000,0.984833,31500
p99aware,4,0.18,90,false,0,4,0.25,800,120,42,35000,3500,119.830381,419.438000,718.788667,0.668381,2327.000000,0.983021,31500
