policy,chunks_per_object,chunk_non_head_prob,cache_capacity_chunks,heterogeneous_backhaul,prediction_noise_sigma,burst_high_rate_mult,burst_low_rate_mult,burst_toggle_mean_requests,request_unit_interval,seed,num_requests,warmup_requests,mean_ms,p95_ms,p99_ms,hit_rate,remote_mb,jain_fairness,count
lru,4,0.18,72,false,0,4,0.25,800,60,42,35000,3500,224.607013,931.764529,1551.151724,0.629429,1697.500000,0.969322,31500
lfu,4,0.18,72,false,0,4,0.25,800,60,42,35000,3500,579.059017,2468.428911,3403.828863,0.620190,2167.750000,0.966231,31500
closer,4,0.18,72,false,0,4,0.25,800,60,42,35000,3500,312.567817,1327.977215,2357.225469,0.720286,1896.000000,0.949158,31500
p99aware,4,0.18,72,false,0,4,0.25,800,60,42,35000,3500,6350.056723,27014.110693,33377.303096,0.353175,3910.250000,0.976452,31500
lru,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,77.111378,299.438000,479.351293,0.629429,1697.500000,0.983602,31500
lfu,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,103.432469,359.675333,569.288000,0.620190,2167.750000,0.986748,31500
closer,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,87.341362,329.525333,539.050800,0.720286,1896.000000,0.985924,31500
p99aware,4,0.18,72,false,0,4,0.25,800,120,42,35000,3500,146.453420,509.288000,903.737631,0.633651,2607.750000,0.982482,31500
lru,4,0.18,72,false,0,4,0.25,800,180,42,35000,3500,61.917871,209.762667,374.525333,0.629429,1697.500000,0.983630,31500
lfu,4,0.18,72,false,0,4,0.25,800,180,42,35000,3500,79.802830,239.675333,404.288000,0.620190,2167.750000,0.987983,31500
closer,4,0.18,72,false,0,4,0.25,800,180,42,35000,3500,69.036323,209.762667,374.525333,0.720286,1896.000000,0.986061,31500
p99aware,4,0.18,72,false,0,4,0.25,800,180,42,35000,3500,95.195895,314.438000,494.288000,0.661079,2499.000000,0.988779,31500
